"COU","Country","SEX","Sex","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2005","2005","PC","Percentage","0","Units",,,2.92,,
"DEU","Germany","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2007","2007","PC","Percentage","0","Units",,,2.62,,
"DEU","Germany","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2009","2009","PC","Percentage","0","Units",,,3,,
"DEU","Germany","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2010","2010","PC","Percentage","0","Units",,,3.06,,
"DEU","Germany","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2011","2011","PC","Percentage","0","Units",,,2.97,,
"DEU","Germany","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2012","2012","PC","Percentage","0","Units",,,3.01,,
"DEU","Germany","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2013","2013","PC","Percentage","0","Units",,,3.06,,
"DEU","Germany","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2014","2014","PC","Percentage","0","Units",,,3.04,,
"DEU","Germany","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2015","2015","PC","Percentage","0","Units",,,3.08,,
"DEU","Germany","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2016","2016","PC","Percentage","0","Units",,,3.14,,
"DEU","Germany","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2017","2017","PC","Percentage","0","Units",,,3.17,,
"FRA","France","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2001","2001","PC","Percentage","0","Units",,,3.69,,
"FRA","France","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2003","2003","PC","Percentage","0","Units",,,3.71,,
"FRA","France","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2005","2005","PC","Percentage","0","Units",,,3.68,,
"FRA","France","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2007","2007","PC","Percentage","0","Units",,,3.57,,
"FRA","France","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2009","2009","PC","Percentage","0","Units",,,3.75,,
"FRA","France","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2010","2010","PC","Percentage","0","Units",,,3.66,,
"FRA","France","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2011","2011","PC","Percentage","0","Units",,,3.7,,
"FRA","France","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2013","2013","PC","Percentage","0","Units",,,3.74,,
"FRA","France","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2014","2014","PC","Percentage","0","Units",,,3.74,,
"FRA","France","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2015","2015","PC","Percentage","0","Units",,,3.71,,
"FRA","France","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2016","2016","PC","Percentage","0","Units",,,3.62,,
"FRA","France","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2017","2017","PC","Percentage","0","Units",,,3.6,,
